"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 13:31:05 SAST 2022","Sun Sep 18 13:31:06 SAST 2022","1135","","CreateUserTests","","CreateUserTests","Users_UpdateUser_Success","Users_UpdateUser_Success()","* Update User"
"passed","Sun Sep 18 13:31:08 SAST 2022","Sun Sep 18 13:31:09 SAST 2022","430","","CreateUserTests","","CreateUserTests","Users_GetCommentById_Success","Users_GetCommentById_Success()","* Get Comment By Id"
"passed","Sun Sep 18 13:31:08 SAST 2022","Sun Sep 18 13:31:08 SAST 2022","470","","CreateUserTests","","CreateUserTests","Users_GetPostById_Success","Users_GetPostById_Success()","* Get Post By Id"
"passed","Sun Sep 18 13:31:07 SAST 2022","Sun Sep 18 13:31:08 SAST 2022","447","","CreateUserTests","","CreateUserTests","Users_GetUserById_Success","Users_GetUserById_Success()","* Get User By Id"
"passed","Sun Sep 18 13:31:06 SAST 2022","Sun Sep 18 13:31:07 SAST 2022","1040","","CreateUserTests","","CreateUserTests","Users_CreatePost_Success","Users_CreatePost_Success()","* Create Post"
"passed","Sun Sep 18 13:31:07 SAST 2022","Sun Sep 18 13:31:07 SAST 2022","609","","CreateUserTests","","CreateUserTests","Users_CreateComment_Success","Users_CreateComment_Success()","* Create Comment"
"passed","Sun Sep 18 13:31:09 SAST 2022","Sun Sep 18 13:31:09 SAST 2022","500","","CreateUserTests","","CreateUserTests","Users_DeleteUserById_Success","Users_DeleteUserById_Success()","* Delete User By Id"
"passed","Sun Sep 18 13:30:52 SAST 2022","Sun Sep 18 13:31:00 SAST 2022","7154","","CreateUserTests","","CreateUserTests","Users_CreateUser_Success","Users_CreateUser_Success()","* Create User"
"passed","Sun Sep 18 13:31:09 SAST 2022","Sun Sep 18 13:31:10 SAST 2022","1112","","CreateUserTests","","CreateUserTests","Users_GetAllUsers_Success","Users_GetAllUsers_Success()","* Get All Users"
"passed","Sun Sep 18 13:31:13 SAST 2022","Sun Sep 18 13:31:13 SAST 2022","514","","CreateUserTests","","CreateUserTests","Users_GetAllComments_Success","Users_GetAllComments_Success()","* Get All Comments"
"passed","Sun Sep 18 13:31:12 SAST 2022","Sun Sep 18 13:31:13 SAST 2022","442","","CreateUserTests","","CreateUserTests","Users_GetAllPosts_Success","Users_GetAllPosts_Success()","* Get All Posts"
